frase,situacao
"Sinto uma pressão forte no peito que irradia para o braço esquerdo há algumas horas e não passa.",alto risco
"Tenho uma dor no peito que se espalha para o braço esquerdo e estou suando muito frio.",alto risco
"A dor no tórax começa no meio do peito e vai até o ombro esquerdo, já faz duas horas assim.",alto risco
"Sinto um aperto no peito que irradia para a mandíbula e o braço esquerdo ao mesmo tempo.",alto risco
"Tenho dor no tórax com irradiação para o braço esquerdo e uma sensação de peso no peito.",alto risco
"A pressão no peito irradia para o braço esquerdo e tenho enjoo desde que começou.",alto risco
"Sinto dor no peito que vai até o braço esquerdo e uma dormência nos dedos da mão esquerda.",alto risco
"Tenho um aperto no tórax que irradia para o pescoço e o braço esquerdo faz mais de uma hora.",alto risco
"Dor intensa no peito com irradiação para o braço esquerdo e falta de ar ao mesmo tempo.",alto risco
"Sinto pressão no tórax que se irradia para as costas e o braço esquerdo, com suor frio.",alto risco
"Acordei com dor forte no peito, sudorese intensa e náusea, não consigo me mover direito.",alto risco
"Tenho uma dor esmagadora no peito, estou vomitando e suando muito, sinto que algo está muito errado.",alto risco
"Dor forte no peito, suor frio escorrendo pelo rosto e vontade de vomitar há uns quarenta minutos.",alto risco
"Sinto uma pressão muito forte no tórax, náusea intensa e sudorese desde que acordei.",alto risco
"O peito está doendo muito, estou com suor frio e já vomitei duas vezes nos últimos minutos.",alto risco
"Dor esmagadora no peito com suor frio e náusea, não consigo achar posição confortável.",alto risco
"Tenho dor intensa no peito acompanhada de enjoo, sudorese fria e fraqueza nas pernas.",alto risco
"Acordei com pressão forte no tórax, estou suando frio e sinto náusea o tempo todo.",alto risco
"Dor muito forte no peito, sudorese intensa e náusea que não passa, estou muito assustado.",alto risco
"Sinto um aperto enorme no peito há uma hora, com suor frio e vontade de vomitar.",alto risco
"Tenho falta de ar intensa mesmo deitado em repouso e não consigo respirar direito.",alto risco
"Acordo durante a noite sufocando, preciso sentar ou levantar para conseguir respirar.",alto risco
"Não consigo respirar nem descansando, a falta de ar é constante e piorando a cada hora.",alto risco
"Sinto falta de ar em repouso, precisei colocar mais dois travesseiros para dormir à noite.",alto risco
"A dificuldade para respirar está presente mesmo sem fazer nada, e piorou muito nos últimos dias.",alto risco
"Fico sem ar mesmo sentado, qualquer esforço mínimo piora muito a minha respiração.",alto risco
"Tenho dispneia intensa em repouso que não melhora nem quando paro tudo que estou fazendo.",alto risco
"Acordo sufocado de madrugada e preciso me sentar para conseguir respirar com menos dificuldade.",alto risco
"Falta de ar constante mesmo em repouso, estou sentindo como se não conseguisse encher os pulmões.",alto risco
"Sinto falta de ar intensa até parado, e à noite piora muito, precisei dormir sentado.",alto risco
"Desmaiei de repente sem nenhum aviso e quando acordei não sabia onde estava.",alto risco
"Tive uma perda de consciência repentina, cai no chão e as pessoas ao redor disseram que ficou assustador.",alto risco
"Sinto tontura muito intensa e quase desmaiei, a visão ficou escura por alguns segundos.",alto risco
"Tive síncope no meio da rua, caí e levei alguns minutos para me recuperar completamente.",alto risco
"Quase desmaiei duas vezes hoje, a cabeça rodou muito e minhas pernas fraquejaram.",alto risco
"Perdi a consciência rapidamente enquanto estava em pé e só me lembro de cair no chão.",alto risco
"Tive episódio de desmaio súbito sem causa aparente e acordei no chão sem entender o que aconteceu.",alto risco
"A tontura foi tão intensa que caí, perdi a consciência por alguns momentos e só voltei com ajuda.",alto risco
"Sinto tontura muito forte com escurecimento da visão e quase perdi os sentidos algumas vezes.",alto risco
"Quase desmaiei hoje cedo, a visão escureceu, as pernas fraquejaram e só não cai porque me apoiei.",alto risco
"Minha pressão está em dezoito por doze, tenho dor de cabeça intensa na nuca e visão turva.",alto risco
