Sintoma1,Sintoma2,Doenca_Associada
dor no peito,aperto no tórax,Infarto do Miocárdio
dor irradiando para o braço esquerdo,pressão no peito,Infarto do Miocárdio
dor no peito ao esforço,sudorese fria,Infarto do Miocárdio
aperto no tórax,náusea,Infarto do Miocárdio
dor no peito,falta de ar,Infarto do Miocárdio
queimação no peito,dor no maxilar,Infarto do Miocárdio
dor intensa no peito,palidez,Infarto do Miocárdio
pressão no esterno,dor no ombro esquerdo,Infarto do Miocárdio
aperto no tórax,tontura,Infarto do Miocárdio
dor no peito,batimento irregular,Infarto do Miocárdio
dor retroesternal,irradiação para o braço,Infarto do Miocárdio
desconforto no peito,suor frio,Infarto do Miocárdio
opressão torácica,mal-estar geral,Infarto do Miocárdio
dor em aperto,náusea e vômito,Infarto do Miocárdio
dor no peito que não melhora,ansiedade,Infarto do Miocárdio
cansaço constante,fadiga,Insuficiência Cardíaca
inchaço nos tornozelos,cansaço,Insuficiência Cardíaca
falta de ar ao deitar,edema,Insuficiência Cardíaca
necessidade de elevar a cabeça para dormir,dispneia,Insuficiência Cardíaca
cansaço ao fazer esforço leve,inchaço nos pés,Insuficiência Cardíaca
fadiga constante,ganho de peso rápido,Insuficiência Cardíaca
edema nos membros inferiores,cansaço,Insuficiência Cardíaca
falta de ar em repouso,inchaço abdominal,Insuficiência Cardíaca
tosse noturna,fadiga,Insuficiência Cardíaca
dificuldade para dormir deitado,pernas inchadas,Insuficiência Cardíaca
coração acelerado,fraqueza,Insuficiência Cardíaca
dispneia aos esforços,edema maleolar,Insuficiência Cardíaca
intolerância ao exercício,cansaço,Insuficiência Cardíaca
barriga inchada,falta de ar,Insuficiência Cardíaca
urina escura,inchaço nas pernas,Insuficiência Cardíaca
falta de ar,dificuldade para respirar,Angina
dor no peito ao esforço,melhora com repouso,Angina
aperto no peito ao caminhar,alívio ao parar,Angina
desconforto torácico ao estresse,melhora com nitrato,Angina
pressão no peito ao subir escadas,cansaço,Angina
dor no peito ao frio,falta de ar,Angina
aperto no tórax aos esforços,irradiação para o pescoço,Angina
dor em queimação ao esforço,alívio com repouso,Angina
desconforto no peito em situações de estresse,tontura,Angina
dor no peito que passa em minutos,sensação de sufocamento,Angina
aperto peitoral ao caminhar rápido,sudorese,Angina
sensação de peso no peito ao esforço,melhora em repouso,Angina
dor torácica de curta duração,palpitações,Angina
falta de ar ao subir ladeiras,desconforto no peito,Angina
dor no peito ao acordar,irradiação para o braço,Angina
palpitações,batimento irregular,Arritmia Cardíaca
coração acelerado sem razão aparente,tontura,Arritmia Cardíaca
batimento rápido do coração,desmaio,Arritmia Cardíaca
sensação de coração pulando,falta de ar,Arritmia Cardíaca
coração batendo forte,ansiedade,Arritmia Cardíaca
palpitações ao repouso,mal-estar,Arritmia Cardíaca
taquicardia,suor frio,Arritmia Cardíaca
bradicardia,fraqueza,Arritmia Cardíaca
coração irregular,pré-síncope,Arritmia Cardíaca
flutter cardíaco,cansaço,Arritmia Cardíaca
sensação de coração parado,retomada brusca,Arritmia Cardíaca
batimentos cardíacos extras,desconforto no peito,Arritmia Cardíaca
ritmo cardíaco irregular,fadiga,Arritmia Cardíaca
coração acelerado à noite,insônia,Arritmia Cardíaca
palpitações após café,ansiedade,Arritmia Cardíaca
pressão alta,dor de cabeça,Hipertensão Arterial
cefaleia na nuca,visão turva,Hipertensão Arterial
dor de cabeça intensa,zumbido no ouvido,Hipertensão Arterial
pressão elevada,sangramento nasal,Hipertensão Arterial
cefaleia,tontura,Hipertensão Arterial
dor na nuca ao acordar,visão embaçada,Hipertensão Arterial
pressão alta assintomática,descoberta em check-up,Hipertensão Arterial
fadiga,dificuldade de concentração,Hipertensão Arterial
rubor facial,palpitações,Hipertensão Arterial
pressão alta,falta de ar ao esforço,Hipertensão Arterial
dor de cabeça frontal,náusea,Hipertensão Arterial
hipertensão,alteração visual,Hipertensão Arterial
pressão elevada,formigamento,Hipertensão Arterial
cefaleia occipital,zumbido,Hipertensão Arterial
visão com pontos,pressão alta,Hipertensão Arterial
fraqueza súbita no braço,confusão mental,Acidente Vascular Cerebral
dificuldade para falar,desvio da boca,AVC
perda súbita de visão,cefaleia intensa,AVC
dormência no rosto,fraqueza nos membros,AVC
confusão mental súbita,fala arrastada,AVC
paralisia facial,dificuldade de engolir,AVC
cefaleia em trovoada,vômito,AVC
perda de equilíbrio,tontura súbita,AVC
visão dupla,dificuldade de andar,AVC
braço ou perna que não obedece,fala incompreensível,AVC
dormência súbita,confusão,AVC
dificuldade para entender,fraqueza facial,AVC
queda súbita,perda de consciência,AVC
dificuldade para ler,visão turva,AVC
desvio ocular,paralisia,AVC
febre persistente,sopro cardíaco,Endocardite
calafrios,fraqueza,Endocardite
febre de origem indeterminada,cansaço,Endocardite
dor nas articulações,febre,Endocardite
manchas vermelhas nas palmas,febre,Endocardite
nódulos dolorosos nos dedos,febre,Endocardite
hemorragia subungueal,sopro cardíaco novo,Endocardite
esplenomegalia,febre prolongada,Endocardite
embolia periférica,febre,Endocardite
hematúria,febre,Endocardite
dor no peito que piora ao deitar,febre baixa,Pericardite
dor torácica que melhora sentado,atrito pericárdico,Pericardite
dor no peito ao respirar fundo,febre,Pericardite
dor pericárdica,dispneia,Pericardite
dor no peito posicional,mal-estar,Pericardite
febre,palpitações,Pericardite
dor que piora ao inspirar,fraqueza,Pericardite
dor torácica aguda,sudorese,Pericardite
desconforto no peito ao respirar,cansaço,Pericardite
dor irradiando para o ombro esquerdo,febre,Pericardite
coração dilatado,cansaço progressivo,Cardiomiopatia Dilatada
falta de ar progressiva,inchaço nas pernas,Cardiomiopatia Dilatada
batimento cardíaco fraco,fadiga,Cardiomiopatia Dilatada
intolerância ao exercício,edema,Cardiomiopatia Dilatada
palpitações,disfunção cardíaca,Cardiomiopatia Dilatada
coração espessado,síncope,Cardiomiopatia Hipertrófica
dor no peito ao esforço,desmaio,Cardiomiopatia Hipertrófica
falta de ar ao esforço físico,palpitações,Cardiomiopatia Hipertrófica
morte súbita em jovem atleta,síncope prévia,Cardiomiopatia Hipertrófica
barulho no coração,sopro sistólico,Cardiomiopatia Hipertrófica
dor na panturrilha,inchaço unilateral,Trombose Venosa Profunda
vermelhidão na perna,calor local,Trombose Venosa Profunda
perna inchada e dolorida,rigidez,Trombose Venosa Profunda
dor ao apertar a panturrilha,edema unilateral,Trombose Venosa Profunda
perna com veias dilatadas,dor,Trombose Venosa Profunda
inchaço na perna após viagem longa,dor,Trombose Venosa Profunda
pele avermelhada e quente na perna,dor intensa,Trombose Venosa Profunda
edema com cacifo positivo,dor em repouso,Trombose Venosa Profunda
falta de ar súbita,dor no peito ao respirar,Embolia Pulmonar
taquicardia,tosse com sangue,Embolia Pulmonar
dispneia aguda,dessaturação,Embolia Pulmonar
dor pleurítica,falta de ar,Embolia Pulmonar
síncope,falta de ar,Embolia Pulmonar
hipoxemia,taquicardia,Embolia Pulmonar
tosse súbita,expectoração com sangue,Embolia Pulmonar
pressão baixa,falta de ar intensa,Embolia Pulmonar
dor nas pernas ao caminhar,melhora com repouso,Doença Arterial Periférica
claudicação intermitente,frio nas extremidades,Doença Arterial Periférica
pés frios e pálidos,dor ao andar,Doença Arterial Periférica
úlcera no pé,dor em repouso,Doença Arterial Periférica
dormência nos pés,cianose distal,Doença Arterial Periférica
pulso fraco no pé,dor nas pernas,Doença Arterial Periférica
gangrena digital,dor intensa,Doença Arterial Periférica
sopro cardíaco,síncope ao esforço,Estenose Aórtica
